序号,求职者id,求职者姓名,预期岗位,求职类型,性别,年龄,期望工作地址,居住地址,可报到时间,工作经验,自我评价,期望企业,期望最低薪资,期望最高薪资,学历,专业,竞赛经历,项目经历,工作经历,技能水平,简历关键词,获得证书
5277,7533343821311700500,李用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5278,7533343825606667796,梁用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5279,7533343834196602388,孔用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5280,7533343838491569684,余用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5281,7533343847081504276,桂用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5282,7533343851376471572,何用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5283,7533258063699701268,廖用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5284,7533687367155772948,宋用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5285,7533687371450740244,叶用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5286,7533687380040674836,刘用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5287,7533687384335642132,郑用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5288,7533687392925576724,林用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5289,7533687397220544020,吴用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5290,7533687405810478612,林用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5291,7533601549414231572,刘用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5292,7533601558004166164,查用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5293,7533644361648238100,张用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5294,7533644370238172692,池用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5295,7533644378828107284,罗用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5296,7533644383123074580,莫用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5297,7533644391713009172,陈用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5298,7533644396007976468,张用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5299,7533644404597911060,张用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5300,7533644413187845652,万用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5301,7533644417482812948,石用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5302,7533644426072747540,刘用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5303,7533644430367714836,沈用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5304,7533644438957649428,李用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5305,7533644443252616724,温用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5306,7533644451842551316,林用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5307,7533644460432485908,杜用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5308,7533644464727453204,叶用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5309,7533644473317387796,高用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5310,7533644477612355092,苏用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5311,7533644486202289684,邱用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5312,7533644494792224276,庹用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5313,7533644499087191572,马用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5314,7533644507677126164,刘用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5315,7533644511972093460,谢用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5316,7533644520562028052,王用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,Python_GOOD,,"大数据开发工程师-基础级,泰迪科技实习证明"
5317,7533644524856995348,王用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5318,7533601364730637844,莫用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5319,7533601373320572436,吴用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5320,7533601377615539732,袁用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5321,7533601386205474324,蓝用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5322,7533601394795408916,梁用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5323,7533601399090376212,黄用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5324,7533601407680310804,张用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,"Python_GOOD,NumPy_GOOD,Matplotlib_GOOD,pandas_GOOD,scikit-learn_GOOD",,
5325,7533601411975278100,龙用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5326,7533601420565212692,宁用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
5327,7533601429155147284,朱用户,"[""数据分析师"",""数据挖掘工程师""]",,,,,,,,,"[""互联网""]",4000,6000,[],[],,,,,,
